District,number_sat,passed_all,passed_all_percentage,failed_all,failed_all_percentage
Matara,12204,7863,64.43,1089,8.92
Ratnapura,13875,8935,64.4,1078,7.77
Jaffna,8326,5299,63.64,709,8.52
Kegalle,11244,7141,63.51,863,7.68
Monaragala,5779,3665,63.42,426,7.37
Hambantota,9406,5943,63.18,824,8.76
Mannar,1518,949,62.52,123,8.1
Puttalam,7448,4607,61.86,616,8.27
Colombo,29267,17931,61.27,2681,9.16
Nuwara Eliya,7105,4348,61.2,664,9.35
Gampaha,23032,14026,60.9,2313,10.04
Galle,15142,9212,60.84,1605,10.6
Kilinochchi,1430,868,60.7,128,8.95
Badulla,11649,7070,60.69,1097,9.42
Matale,5939,3600,60.62,497,8.37
Kalutara,13927,8434,60.56,1339,9.61
Vavuniya,2052,1242,60.53,179,8.72
Anuradhapura,10887,6505,59.75,1073,9.86
Batticaloa,5863,3483,59.41,535,9.13
Mullaitive,1253,740,59.06,153,12.21
Kurunegala,21732,12789,58.85,2030,9.34
Kandy,18457,10842,58.74,1594,8.64
Trincomalee,4859,2775,57.11,446,9.18
Polonnaruwa,4327,2444,56.48,413,9.54
Ampara,8470,4736,55.91,872,10.3
