 District,number_sat,passed_all,passed_all_subject_perc,failed_all,failed_all_subject_perc
Ratnapura,11147,7700,69.08,731,6.56
Mannar,1337,883,66.04,91,6.81
Jaffna,6925,4567,65.95,495,7.15
Colombo,26255,17287,65.84,1955,7.45
Monaragala,4642,3012,64.89,344,7.41
Matara,9919,6363,64.15,871,8.78
Kilinochchi,1216,780,64.14,95,7.81
Kalutara,11567,7398,63.96,1019,8.81
Hambantota,6939,4437,63.94,614,8.85
Matale,4930,3151,63.91,396,8.03
Kegalle,9351,5948,63.61,756,8.08
Batticaloa,4749,3017,63.53,321,6.76
Galle,12762,8094,63.42,1152,9.03
Nuwara Eliya,6110,3873,63.39,502,8.22
Puttalam,6162,3894,63.19,497,8.07
Gampaha,19432,12175,62.65,1671,8.6
Mullativu,1074,672,62.57,108,10.06
Badulla,9751,6098,62.54,771,7.91
Ampara,6510,3997,61.4,580,8.91
Trincomalee,3720,2278,61.24,354,9.52
Kurunegala,17671,10767,60.93,1623,9.18
Kandy,15614,9500,60.84,1304,8.35
Anuradhapura,8822,5273,59.77,907,10.28
Vavuniya,1775,1053,59.32,159,8.96
Polonnaruwa,3485,2021,57.99,386,11.08
All Island,211865,134238,63.36,17702,8.36
