District,number_sat,passed_all,passed_all_subject_perc,failed_all,failed_all_subject_perc
Mannar,1203,873,72.57,62,5.15
Mullativu,990,691,69.8,65,6.57
Ratnapura,10986,7592,69.11,808,7.35
Nuwara Eliya,5912,4066,68.78,441,7.46
Puttalam,5916,4058,68.59,399,6.74
Jaffna,6615,4527,68.44,442,6.68
Monaragala,4392,2990,68.08,347,7.9
Colombo,25308,17054,67.39,1927,7.61
Matara,9948,6686,67.21,813,8.17
Vavuniya,1594,1068,67,133,8.34
Badulla,9221,6167,66.88,733,7.95
Kalutara,11237,7448,66.28,950,8.45
Kegalle,9043,5984,66.17,750,8.29
Matale,4954,3271,66.03,395,7.97
Kurunegala,17013,11199,65.83,1325,7.79
Batticaloa,4517,2950,65.31,359,7.95
Gampaha,19028,12396,65.15,1609,8.46
Hambantota,6761,4403,65.12,617,9.13
Kandy,15767,10172,64.51,1174,7.45
Kilinochchi,1189,766,64.42,114,9.59
Galle,12872,8278,64.31,1262,9.8
Anuradhapura,8718,5520,63.32,850,9.75
Trincomalee,3360,2116,62.98,338,10.06
Polonnaruwa,3412,2123,62.22,338,9.91
Ampara,6674,4023,60.28,716,10.73
All Island,206630,136421,66.02,16967,8.21
