District,One teacher,Two teachers,Tree teachers,Four teachers,Five teachers,Six teachers,Seven teachers,Eight teachers,Nine teachers,Ten teachers,11-15 teachers,16-20 teachers,21-25 teachers,26-30 teachers,31-40 teachers,41-50 teachers,51-60 teachers,61-70 teachers,71-80 teachers,81-90 teachers,91-100 teachers,101-150 teachers,151 teachers and above,Total
Colombo,-,-,1,1,1,10,13,11,6,6,66,69,33,19,33,35,23,13,5,9,10,26,13,403
Gampaha,-,-,-,3,4,9,47,13,9,1,98,101,43,38,58,27,19,15,13,10,5,13,5,531
Kalutara,-,1,8,13,15,14,27,22,10,7,72,78,23,13,30,23,9,10,7,6,4,11,4,407
Kandy,2,9,15,26,24,21,40,19,20,13,98,113,54,48,55,25,13,14,9,8,3,14,6,649
Matale,4,7,6,14,18,21,19,9,6,3,53,62,36,13,17,12,4,5,-,4,1,4,-,318
Nuwara Eliya,1,6,11,30,53,58,56,21,16,12,62,62,56,30,33,16,7,6,7,2,-,1,-,546
Galle,-,2,2,9,10,26,37,14,12,8,83,72,35,19,27,21,13,12,2,7,8,5,5,429
Matara,-,1,4,8,5,8,20,13,6,7,56,74,37,29,27,22,11,7,6,5,2,10,2,360
Hambantota,-,1,-,2,1,11,17,14,4,4,49,79,45,15,29,19,9,8,-,2,2,6,-,317
Jaffna,1,5,14,42,23,49,31,11,7,14,74,58,22,16,31,21,9,3,1,1,4,1,-,438
Mannar,1,8,20,16,5,8,3,5,2,5,17,9,15,4,9,2,-,1,2,-,1,-,-,133
Vavuniya,26,24,18,11,11,8,5,6,3,2,18,17,8,9,7,3,4,-,-,1,-,2,1,184
Mullaitivu,8,9,8,9,1,5,4,6,5,3,19,11,9,7,5,5,2,-,-,-,-,-,-,116
Kilinochchi,-,-,4,4,8,9,8,1,2,3,20,11,11,4,11,6,-,-,1,-,-,-,-,103
Batticaloa,-,4,7,16,36,33,22,17,6,6,50,38,28,18,35,10,7,5,3,1,3,3,-,348
Ampara,-,6,8,11,18,24,41,17,21,8,75,68,29,16,34,14,8,10,5,2,1,9,-,425
Trincomalee,3,9,9,16,18,23,15,16,9,12,46,43,25,13,20,12,4,2,1,4,-,1,-,301
Kurunegala,3,10,9,19,27,46,68,28,23,17,180,167,89,41,46,24,19,9,13,7,6,17,7,875
Puttalam,-,2,2,7,10,14,11,9,14,14,106,58,24,20,29,11,9,3,3,3,1,1,3,354
Anuradhapura,-,1,6,19,41,41,35,30,17,12,75,88,51,30,45,23,6,7,2,6,2,6,3,546
Polonnaruwa,1,2,7,7,20,20,23,14,12,5,27,32,25,9,9,15,4,3,-,3,2,1,-,241
Badulla,1,5,16,34,29,36,30,24,13,16,81,101,50,28,54,22,15,10,4,4,3,9,2,587
Moneragala,-,-,4,10,8,11,8,11,7,9,48,65,22,20,22,11,7,6,2,3,-,3,-,277
Ratnapura,3,10,30,34,29,31,19,16,15,16,112,104,39,34,38,19,11,12,4,5,-,7,2,590
Kegalle,2,10,17,26,30,30,43,20,9,10,79,106,58,19,23,17,11,6,3,1,1,8,5,534
